Study,Study type,Author position,Demographic,Demographic category,Assessor,Editor demographic,Total manuscripts,Time data,Year,Category,Subcategory,Journal impact factor,Continus data stage,Notes
Fox et al. (2016),Observational,First,Gender,Male,Editor,Male,741,62.79463343,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Fox et al. (2016),Observational,First,Gender,Female,Editor,Male,539,62.2690067,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Fox et al. (2016),Observational,First,Gender,Male,Editor,Female,263,62.49625761,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Fox et al. (2016),Observational,First,Gender,Female,Editor,Female,214,62.67901323,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Fox et al. (2016),Observational,Corresponding,Gender,Male,Editor,Male,772,63.11766805,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Fox et al. (2016),Observational,Corresponding,Gender,Female,Editor,Male,454,61.47402721,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Fox et al. (2016),Observational,Corresponding,Gender,Male,Editor,Female,290,62.12233223,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Fox et al. (2016),Observational,Corresponding,Gender,Female,Editor,Female,175,63.2904412,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Fox et al. (2016),Observational,Last,Gender,Male,Editor,Male,989,62.76886452,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Fox et al. (2016),Observational,Last,Gender,Female,Editor,Male,266,62.29143969,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Fox et al. (2016),Observational,Last,Gender,Male,Editor,Female,350,61.39225719,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Fox et al. (2016),Observational,Last,Gender,Female,Editor,Female,123,65.70491341,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Petty et al. (1999),Observational,Corresponding,Gender,Male,Editor,Male,337,16.39405204,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
Petty et al. (1999),Observational,Corresponding,Gender,Female,Editor,Male,122,17.42222222,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
Petty et al. (1999),Observational,Corresponding,Gender,Male,Editor,Female,189,14.51677852,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
Petty et al. (1999),Observational,Corresponding,Gender,Female,Editor,Female,82,14.33333333,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
Petty et al. (1999),Observational,First,Gender,Male,Editor,Male,316,15.74297189,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
Petty et al. (1999),Observational,First,Gender,Female,Editor,Male,139,19.1509434,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
Petty et al. (1999),Observational,First,Gender,Male,Editor,Female,187,14.33333333,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
Petty et al. (1999),Observational,First,Gender,Female,Editor,Female,82,14.64615385,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
