Study,Study type,Author position,Demographic,Demographic category,Assessor,Reviewer demographic,Total manuscripts,Time data,Year,Category,Subcategory,Journal impact factor,Continus data stage,Notes
Fox et al. (2016),Observational,First,Gender_2,Male,Reviewer,1+ Female,484,21.35330579,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,
Fox et al. (2016),Observational,First,Gender_2,Female,Reviewer,1+ Female,389,21.14353042,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,
Fox et al. (2016),Observational,First,Gender_2,Male,Reviewer,All Male,517,20.66602192,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,
Fox et al. (2016),Observational,First,Gender_2,Female,Reviewer,All Male,361,20.35918744,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,
Fox et al. (2016),Observational,Corresponding,Gender_2,Male,Reviewer,1+ Female,500,21.20016667,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,
Fox et al. (2016),Observational,Corresponding,Gender_2,Female,Reviewer,1+ Female,334,21.14620758,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,
Fox et al. (2016),Observational,Corresponding,Gender_2,Male,Reviewer,All Male,559,20.6935003,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,
Fox et al. (2016),Observational,Corresponding,Gender_2,Female,Reviewer,All Male,292,20.22060502,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,
Fox et al. (2016),Observational,Last,Gender_2,Male,Reviewer,1+ Female,650,21.215,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,
Fox et al. (2016),Observational,Last,Gender_2,Female,Reviewer,1+ Female,207,21.37600644,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,
Fox et al. (2016),Observational,Last,Gender_2,Male,Reviewer,All Male,687,20.53918001,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,
Fox et al. (2016),Observational,Last,Gender_2,Female,Reviewer,All Male,179,20.25418994,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,
